date,pango_lineage
2022-12-19,BQ.1.1.11
2022-12-19,BA.4.6
2022-12-18,BA.5.1
2022-12-16,BQ.1.13
2022-12-17,BQ.1.1
2022-12-14,BQ.1.1
2022-12-16,BQ.1.1
2022-12-27,BW.1.1
2022-12-28,BF.11.1
2022-12-29,BQ.1.1.44
2022-12-30,EE.4
2022-12-05,BF.11
2022-12-05,BQ.1.1
2022-12-30,ED.2
2022-12-30,ED.2
2022-12-04,BQ.1.2
2022-12-03,DF.1.1
2022-12-03,BQ.1.12
2022-12-03,BQ.1.12
2022-12-04,BQ.1
2022-12-04,BQ.1.1.55
2022-12-04,BQ.1.1
2022-12-05,BQ.1.1
2022-12-05,BQ.1.1.55
