weekDate	variant	week.x	Freq	total	prop	weight	week.y	predicted	std.error	conf.low	conf.high	group	sublineage_grouped	prop.diff	withinInd	projInd
2022-11-06	BA.5	148	84	1335	0.062921	84	148	0.054066	0.002388	0.049436	0.059133	1	BA.5*	0.008855	TRUE	FALSE
2022-11-06	BA.2.75	148	32	1335	0.02397	32	148	0.03163	0.001952	0.028224	0.035246	1	BA.2.75*	0.00766	TRUE	FALSE
2022-11-06	XBB	148	5	1335	0.003745	5	148	0.005175	0.000824	0.003798	0.007109	1	XBB*	0.00143	TRUE	FALSE
2022-11-07	BQ.1.1	NA	NA	NA	NA	NA	148.25	0.154984	0.004149	0.146646	0.162804	1	BQ.1.1*	NA	FALSE	FALSE
2022-11-07	Other	NA	NA	NA	NA	NA	148.25	0.014903	0.001284	0.012689	0.017541	1	Other	NA	FALSE	FALSE
2022-11-07	BA.4.6	NA	NA	NA	NA	NA	148.25	0.048908	0.002185	0.044523	0.053154	1	BA.4.6*	NA	FALSE	FALSE
2022-11-07	BA.5.1	NA	NA	NA	NA	NA	148.25	0.098898	0.003035	0.093028	0.104758	1	BA.5.1*	NA	FALSE	FALSE
2022-11-07	BA.5.2	NA	NA	NA	NA	NA	148.25	0.169992	0.003872	0.162249	0.177545	1	BA.5.2*	NA	FALSE	FALSE
2022-11-07	BA.5.2.1	NA	NA	NA	NA	NA	148.25	0.184108	0.003971	0.176812	0.191973	1	BA.5.2.1*	NA	FALSE	FALSE
2022-11-07	BF.7	NA	NA	NA	NA	NA	148.25	0.083361	0.002942	0.078234	0.089655	1	BF.7*	NA	FALSE	FALSE
2022-11-07	BQ.1	NA	NA	NA	NA	NA	148.25	0.118898	0.003586	0.11198	0.125648	1	BQ.1*	NA	FALSE	FALSE
2022-11-07	BQ.1.2	NA	NA	NA	NA	NA	148.25	0.035309	0.00206	0.031686	0.03943	1	BQ.1.2*	NA	FALSE	FALSE
2022-11-07	XBB.1.5	NA	NA	NA	NA	NA	148.25	0.000629	0.000295	0.000244	0.001616	1	XBB.1.5*	NA	FALSE	FALSE
2022-11-07	BA.5	NA	NA	NA	NA	NA	148.25	0.052378	0.002267	0.047935	0.057026	1	BA.5*	NA	FALSE	FALSE
2022-11-07	BA.2.75	NA	NA	NA	NA	NA	148.25	0.032225	0.001894	0.028869	0.035734	1	BA.2.75*	NA	FALSE	FALSE
2022-11-07	XBB	NA	NA	NA	NA	NA	148.25	0.005407	0.000816	0.004027	0.007305	1	XBB*	NA	FALSE	FALSE
2022-11-09	BQ.1.1	NA	NA	NA	NA	NA	148.5	0.1665	0.004159	0.158253	0.174614	1	BQ.1.1*	NA	FALSE	FALSE
2022-11-09	Other	NA	NA	NA	NA	NA	148.5	0.015018	0.001243	0.012876	0.017486	1	Other	NA	FALSE	FALSE
2022-11-09	BA.4.6	NA	NA	NA	NA	NA	148.5	0.046711	0.002094	0.042562	0.050684	1	BA.4.6*	NA	FALSE	FALSE
2022-11-09	BA.5.1	NA	NA	NA	NA	NA	148.5	0.094045	0.002909	0.08841	0.099633	1	BA.5.1*	NA	FALSE	FALSE
2022-11-09	BA.5.2	NA	NA	NA	NA	NA	148.5	0.165901	0.003724	0.158601	0.173457	1	BA.5.2*	NA	FALSE	FALSE
2022-11-09	BA.5.2.1	NA	NA	NA	NA	NA	148.5	0.176659	0.003813	0.169547	0.18449	1	BA.5.2.1*	NA	FALSE	FALSE
2022-11-09	BF.7	NA	NA	NA	NA	NA	148.5	0.084317	0.002855	0.079221	0.090255	1	BF.7*	NA	FALSE	FALSE
2022-11-09	BQ.1	NA	NA	NA	NA	NA	148.5	0.124127	0.003538	0.117387	0.131009	1	BQ.1*	NA	FALSE	FALSE
2022-11-09	BQ.1.2	NA	NA	NA	NA	NA	148.5	0.036957	0.00204	0.033309	0.04112	1	BQ.1.2*	NA	FALSE	FALSE
2022-11-09	XBB.1.5	NA	NA	NA	NA	NA	148.5	0.000717	0.000316	0.000295	0.001774	1	XBB.1.5*	NA	FALSE	FALSE
2022-11-09	BA.5	NA	NA	NA	NA	NA	148.5	0.050644	0.002173	0.046475	0.054997	1	BA.5*	NA	FALSE	FALSE
2022-11-09	BA.2.75	NA	NA	NA	NA	NA	148.5	0.032766	0.001842	0.029411	0.036231	1	BA.2.75*	NA	FALSE	FALSE
2022-11-09	XBB	NA	NA	NA	NA	NA	148.5	0.005639	0.000806	0.004254	0.007467	1	XBB*	NA	FALSE	FALSE
2022-11-11	BQ.1.1	NA	NA	NA	NA	NA	148.75	0.178515	0.004163	0.170431	0.18658	1	BQ.1.1*	NA	FALSE	FALSE
2022-11-11	Other	NA	NA	NA	NA	NA	148.75	0.015104	0.00121	0.013037	0.017472	1	Other	NA	FALSE	FALSE
2022-11-11	BA.4.6	NA	NA	NA	NA	NA	148.75	0.044523	0.002028	0.040536	0.048299	1	BA.4.6*	NA	FALSE	FALSE
2022-11-11	BA.5.1	NA	NA	NA	NA	NA	148.75	0.089251	0.002819	0.084	0.094853	1	BA.5.1*	NA	FALSE	FALSE
2022-11-11	BA.5.2	NA	NA	NA	NA	NA	148.75	0.161585	0.003612	0.154336	0.168974	1	BA.5.2*	NA	FALSE	FALSE
2022-11-11	BA.5.2.1	NA	NA	NA	NA	NA	148.75	0.169173	0.003698	0.162265	0.17694	1	BA.5.2.1*	NA	FALSE	FALSE
2022-11-11	BF.7	NA	NA	NA	NA	NA	148.75	0.085113	0.002784	0.080134	0.090863	1	BF.7*	NA	FALSE	FALSE
2022-11-11	BQ.1	NA	NA	NA	NA	NA	148.75	0.129328	0.003495	0.122688	0.136281	1	BQ.1*	NA	FALSE	FALSE
2022-11-11	BQ.1.2	NA	NA	NA	NA	NA	148.75	0.038604	0.002021	0.035059	0.042715	1	BQ.1.2*	NA	FALSE	FALSE
2022-11-11	XBB.1.5	NA	NA	NA	NA	NA	148.75	0.000816	0.000338	0.000349	0.0019	1	XBB.1.5*	NA	FALSE	FALSE
2022-11-11	BA.5	NA	NA	NA	NA	NA	148.75	0.048869	0.002105	0.044903	0.052874	1	BA.5*	NA	FALSE	FALSE
2022-11-11	BA.2.75	NA	NA	NA	NA	NA	148.75	0.03325	0.001798	0.030005	0.036553	1	BA.2.75*	NA	FALSE	FALSE
